releasedate,lei,benchmarkyear,benchmark,actual_or_implied,benchmark_revision,Adjustment_from_prior_period,
5/21/2015,122.3,2010,100,a,,,
6/18/2015,123.1,2010,100,a,,,
7/23/2015,123.6,2010,100,a,,,
8/20/2015,123.3,2010,100,a,,,
9/18/2015,123.7,2010,100,a,,,
10/22/2015,123.3,2010,100,a,,,
11/19/2015,124.1,2010,100,a,,,
12/17/2015,124.6,2010,100,a,,,
1/22/2016,123.7,2010,100,a,1,-0.002,
2/18/2016,123.2,2010,100,a,,,
3/17/2016,123.2,2010,100,a,,,
4/21/2016,123.4,2010,100,a,,,
5/19/2016,123.9,2010,100,a,,,
6/23/2016,123.7,2010,100,a,,,
7/21/2016,123.7,2010,100,a,,,
8/18/2016,124.3,2010,100,a,,,
9/22/2016,124.1,2010,100,a,,,
10/20/2016,124.4,2010,100,a,,,
11/18/2016,124.5,2010,100,a,,,
12/22/2016,124.6,2010,100,a,,,
1/26/2017,124.6,2010,100,a,1,0.005,
2/17/2017,125.5,2010,100,a,,,
3/17/2017,126.2,2010,100,a,,,
4/20/2017,126.7,2010,100,a,,,
5/18/2017,126.9,2010,100,a,,,
6/22/2017,127,2010,100,a,,,
7/20/2017,127.8,2010,100,a,,,
8/17/2017,128.3,2010,100,a,,,
9/21/2017,128.8,2010,100,a,,,
10/19/2017,128.6,2010,100,a,,,
11/20/2017,130.4,2010,100,a,,,
12/21/2017,130.9,2010,100,a,,,
1/25/2018,107,2016,100,a,1,0.006,
2/22/2018,108.1,2016,100,a,,,
3/22/2018,108.7,2016,100,a,,,
4/19/2018,109,2016,100,a,,,
5/17/2018,109.4,2016,100,a,,,
6/21/2018,109.5,2016,100,a,,,
7/19/2018,109.8,2016,100,a,,,
8/17/2018,110.7,2016,100,a,,,
